review,sentiment
fine cable decent price point nothing exceptional mind gets job done well enough fine cable,1
ive used lot cables always come back hosa indeed best audio cables price range market hosa best,1
bought cord returning cheap one shouldve known better buy son experience musician recommended hosa brand seeking proper replacementi bought small home recording setup includes behringer c1 condenser microphone behringer xenyx 302 mixer ends make reliable connection board mic sound quality excellentan excellent value money excellent quality exactly needed,1
nice solid cables excellent support ends last lifetime usage problem needed connect tube preamp great value,1
good quality cable sounds good five stars,1
zero issues cable far feels fairly cheap light weight survived months plugging unplugging packing practice spacesill update review ifwhen breaks pretty cheap cable lasted far,1
realtively inexpensive patch cable electric guitari months far held pretty well nice cable,1
bought wanted cheap replacement cable one short im pleasantly surprised cable decent sound decent build quality good price nice guitar cable even better price,1
nice cable price already bent one end though fortunately still works fine inside phono connector wires covered white shrink plastic havent noticed hum crackles sure good buy want,1
cheap good texture rubber get stiff time tell well soldering sounds fine flexible soft rubber great,1
seems sturdy enough noise issues im pretty much satified doesnt leave house im asking handle lot reasonable care last works wonderfully noise,1
im professional playing many many years best cord ive ever though im sure eric clapton something better excellent,1
hosa cable well made good quality connectors nice long length son expanding collection amps effects pedals needed additional cables get everything connected 25 cable gives flexibility move around sturdy enough take stepped pulled aroundthe cable works well good value decent quality cablehighly recommendedcfh great guitar cable good value highly recommended,1
didnt expect cable thin easily 12 thickness guitar cable ive used sure longterm durability signal lossinterference foresight id spend couple extra bucks thicker cable still works inexpensiveedit 6 months later dead already wire frayed right angle jack get pay cannot recommend,-1
bought daughter along new guitar seems work well issues first couple weeks cable works described,1
hums crackles think im problems equipment soon use cords problem gone hosa makes products good value based experience dont recommend one bought many cables one one gives problems,-1
hard cables typically plug guitar dont move around much play hour two day one seem perform fine buzz andor noises noted several performed well gets job done,1
found hosa cables excellent value expensive cables may rugged price im happy hosas purchased nice cable price,1
good cable excellent 1434 plugs lugs solder joints covered heat shrink material hold everything place years grade cable affordable price definitely going back 25 ft cable couple dollars 10 ft well made audio cable,1
pretty crappy cable works gets job done purchasing product using shell extra bucks better quality eh,1
use cord church run pedalboard amp soundproof box cord reliable clean sounding like used hosa products past confidence excellent cord hopefully review usefull great affordable cord,1
second hosa guitar cable one shorter like first hosa cable high quality item id definitely buy cables brand nice cable,1
works practice guitar instrument cable say maybe best serves purpose maybe best serves purpose,0
cables taken beating last months served well problemsreal metal ends molded high quality silicone jackets strain reliefs connectors high quality low cost,1
opinion hurt extra guitar cables around experience tend die without notice feeling one last long time built sturdy sounds really goodi recommend product works advertised,1
hosa guitar cables work great never problems several different lengths sound perfect good cables,1
product exactly supposed decent price absolutely complaints first experience brand disappointed complaints,1
good quality guitar cordvery low noise repairable effective strain releafthick rubber cover great buy 10 bucks quality cordof course got itit might durable looks durableif change mind anything update reviewfor would say buy onejoe good quality,1
good solid cable problems im stage like longer cable practice dont need extra length tangleing everything perfect practice,1
guitar cable nice looks high quality white ends fantastic deal cable nice high quality guitar cable,1
good product good price used multiple times works well guitar speaker great friends come jam works well,1
item well built like terminal ends spring built arent going durable road cables home light road use work well well built cable,1
amp plug great price 10 ft long perfect size jammin home quality look aesthetically totally worth price pperfect amp chordfor home use,1
hosa cable gtr210 guitar instrument cable 10ft high quality instrument cable low cost wont break bank im satisfied purchase hosa cable gtr210 guitar instrument cable 10ft,1
unbalanced guitar cable notoriously noisy especially around florescent lights different would prefer use cables better shielding cannot justify expense considering rarely things get used standard guitar cable,0
basic black electric guitar cable works great far connections ends solid sound amp great nice rubbery 10 feet long enough problems arise later cable update review problems whatsoever cable hosa electric guitar cable gtr210,1
hosa cable quality place products good sound good reliable long lasting products good affect sound negatively break prematurely short useful life spanthese guitar cords actually quite nice feel good gooey soft rubber jacket like mogami sound good far working reliably rubber jacket 2534 diameter eye short heat shrink overwrap add strength wire enters plugi bought needed cables fast internet concert lots pedals signal splits connect cables arrived good working condition weve using continuously sincewe dozen tube amps particular sound degradation far cables disappointed anyonei would buy needed far good,1
cable frills tangles pretty easy due design might rattle little move around works like average cable,0
never really considered cheaper cable always taught get best could afford showed cable search amazon jumped figured nothing loseto surprise excellent cable good build quality strong thick jacket inspires confidence sound identical monster cables cost one quarter pricehmmmm guess tried figure instead listening 34snobs34 many years never againthis worth money twice try kiss overpriced cables goodbye good quality low price,1
one end loose tightened keeps coming loose put dab crazy glue threads hope dont ever open end repair good price,0
price fantasticthey feel light dont trust build quality key stress points cable meets connector going push itset guitar accident plugged andwho knowsbut seven bucks gets job done recommended beginner thing testing watersotherwise spend bucks something higher chances lasting feel little flimsy see easily breaking work,1
hosa makes good stuff exception ive trusted years cant think single hosa cable ive owned thats failed excellent,1
complaint size fault buy least 15 foot plan use stage complaint size fault,1
hard day much works great issues speak job perfectly well worth,1
price works really well see faults unscrew pretty easily hardly problem right works,1
cable disproves notion get pay quality outweighs price lets face cable cable cable quality cables vary greatly replaced lighter cable one surprised difference quality sound amp ibanez art series guitar ibanez 15 watt amp set home nothing changed cable significant difference quality volume much checked guitar teacher said surprised quality appears good ends heavy duty little bit hum due proximity everything attenuated point inconsequential ive seen expensive cables one far greathosa gtr210 guitar cable 10 ft good quality great price,1
looking long cable perform live band im glad hosa quality feels reliable without adding noise good quality excellent price,1
good cables good price sure would hold heavy use practicing home really great good cables good price,1
sturdy high quality little feedback use performing friends love works well great quality,1
unless youre going go top line expensive professional chords medium sized venue great value,1
many lengths hosa cables neverhad problem themi active musician put throughthe riggers happens stage cannot comment thistype usagein 40 years 10 stage come realize thatyou always extra cables like strings aseven expensive cables sometimes let good cables,1
ive using 3 weeks strong flexible dont seem develop kinks bending habits roll proper wayive seen used better cables price point ive certainly seen quite worse pretty good sweet spot opinion solid cables,1
im procheapo hated thing theyre noisy cables feel really cheap gummylike drop bucks get something else crap,-1
works great 100 watt amp almost compares monster cable length plenty room guitar amp good product works good complaints,1
good cable good expensive brand thick bit stiff seems shielded complaints good guitar cable,1
lots hosa cables cheap quality ive recieved one bad cable around 50 use lot guys work get havnt failed yet hosa rocks,1
decent cable job leaves much desired far structural integrity concerned mating part connector jiggles back forth switch also loose connector move around 2mm microphone without switch pressedi would recommend using cable critical applications would suited home hobby use job,0
cable great connecting directly computer microphone record live without console mixer great recomended good direct connect computer,1
bought hook beta 58 panasonic g2 dslr kodak zi8 interviews works way supposed 90 degree trs nice touch good price intended,1
received cord seems work expected say adapter cord well made good construction sound dslr mic superb works expected,1
youre like probably bought hook xlr microphone digital recorder pcit works fine handy type recordersbut forget hooking directly pc way much noise good uses,1
bought canon vixia hf g10 video camera shotgun mic recently purchased needed 1234 wire perfect fit mic mounted mini advanced shoe microphone plug video camerathe wire thing 1 foot long actual wire 834 long would returned thing cheap enough wasnt worth hassle id rated 1 star tried nikon d3200 shoe mounted shotgun mike worked ok still tight fit though since theres 834 wireid recommend anyone looking short cable go 2 adapter worst case scenario ziptie loop instead getting angry doesnt fitalso sure wire didnt affect stars hear hiss recording unsure way wires stretched max dslr shotgun mic measure damned wires sending,-1
well made xlr 3 pin adaptor mini needed get real xlr mic computer job recommend,1
listing item confusing sure stereo xlr stereo xlr meant similar stereo headphones left right separate unbalanced wires cable configured stereo unbalanced xlr stereo unbalanced trs cable item mono balanced xlr stereo unbalanced mic cablea little bit soldering fix connector moving red wire ping 3 pin 2 white wire pin 3 ties pin 1 ground wire product shipd expected listing item confusing,1
first reasons awarded five stars construction uniformly excellent ends strain reliefs 18 connecter perfectly mates plug insert xlr end quality componenti purchased specifically transform third channels mypowerwerks 50 watt personal pa systeminto something useable greatly expands functionality versatility portable pa allowing plug another mic since three units daisychained able significantly enhance entire system simple adapteranother reason love noise free environments play sources electromagnetic interference cheap cables pick transmit problem one another plusoverall pleased adapter actually purchased spare case damage lose primary one bit pricier others considered feel quality peace mind worth premium solved big issue,1
use cable run extra line microphone podiums zoom h1 adapter never failed instrumental capturing quality audio live events several love themi highly recommend adapter visual audio professional also check hosas sinlge xlr double xlr splitter good adapter cable,1
adapter cable stereo mics work small dv cameras function caveatsfirst construction pretty light weight means gentle using thats something none us broadcast production field want worry since gear gets pretty beat upsecond adapter one foot length cable pretty short may reach wherever mic input jack camera means would need another short xlr mic cable extend mic adapterso aware may work fine work others went sam ash music found similar adapter cable heavy duty longer cable price pays shop around light weight cable stereo mics limitations,1
well made works however seem getting little bit noise shotgun mic straight d800 usual expectedto see mic cable adapter tested going straight zoom h4 recorderseems little noise going adapter cable straight xlr inputno big surprises minor clean post good construction,1
havent used yet like cables company work fine nice cables,1
great stereo sound keyboardsmy keys single 1434 stereo cable needed get convert true 2 channel stereo could eq properly worked like charm highly recommend cable perfect,1
another quality product hosa needed insert patch mixer eq always like slightly longer length always zip tie back hard stretch noise cable good insert cable,1
ordered wasnt expecting whole lot since price two dollars nearly 10foot cable turns quality quite excellent cables flimsy plugged mixer waited hear static interference buzz explain low price got nice clean signal highly recommend anyone mixer needs insert cable excellent insert cable,1
solid cables tight fit receptacles introduction noise discernible loss signal especially considering price brilliant like reviewers wondering economical cable could good trusted judgment gave try count among werent sure become convinced hosa knows make great cable without need charge monster prices work great,1
mixer sendreturns plug using 3 wire trs send tip return ring common ground effects boxes like separate 14 tr ins outsthis perfect cable hookup things like behringer sharkbehringer shark fbq100 automatic feedback destroyerto 1202vlz3s sendreturnsmackie 1202vlz3 12ch compact recordingsr mixeri probably order second cable seen well first one worked sendreturn needed returns,1
still operate analog environment quite often end using lots inserts 8 channels compression limiter gate expander plus various eqs effects processors need routed applied specific channels insert snake use well individual insert cables differing lengths carry lifesavers make efficient soundman setup flexible soundman show soundman must insert cables,1
use home studio inserts work great complaintson side note always clean cables caig deoxit gold g5 spray contact conditioner 5 ozand hightly recommend musicians hear differnce also spray qtip clean jacks guitars instruments good price vs value works great home studio,1
need audio insert cable need audio insert cablewe custom manufacture insert cables custom soundreinforcement fixed installations mobile rigs mixer cases processing gear simply cost effective hosa goto brand reliability durability brands reputation stakehosa allows us maintain good reputation lowering labor costs thanks dependable product hosa thanks great price amazon right product right price,1
play ipod small guitar amp great way wake kids works perfectly purpose keep mind small end ipod stereo large end goes amp mono needing stereo jack ends get something else use plug ipod guitar amp,1
plugged works connect mono line stereo input lepai amp much else tell plugged works,1
bought hook ipodsiphones live stage sound systems stereo anyway use stereotomono adapters 2 separate channels needed perfect solution seems durable sound engineers solution,1
carry bass gig bag plug phone mono auxinput back genz benz bass head handy rehearsals band needs listen track working arrangement bass cab full range fearful 1561 picking used couple cables adapters go stereo 1834 mono 1434 often seemed never quite needed hand exact cable need application,1
super cheap mono cable sufficient many needs cheap enough thin wire gauge forgiven aware cheap unshielded etcfor price intent almost gave 5 stars 5star cable fair quality ultra cheap cable 4 stars seems right yes almost exactly wrote hosa cable reviewed almost 5stars price,1
hard love cord carries electrons way end sure complete failure would take stars away works,1
cables cables usually work amazon always find best deals quality works good good price,1
picked cable test new pedalboard couldnt happier doesnt suck tone cables sturdy sound great replaced normal straight 14 inch cable saves much space board inexpensive cheap,1
l jack good enough make connections guitar pedals works fine flexible enough dont like fact made plastic looks cheap price paid dont really care good,1
little patch cables work nicely theres change tone sound connect one pedal another fineim going make one small complaint explain got 4 stars instead 5 product description says 6 inches right jump planet waves patch cables theyre listed 5 feet 6 inches right hosa cables seem like maybe 4 inches whereas planet waves cables gave plenty room one pedal another used hosa cable emergency back upto conclude would recommend yes one two pedals need affordable small effective patch cable go first recommendation always planet waves cables anything else job,1
need 6 cables connect pedals look farther cables perfect deliver good sound small cheap could ask great pedal cable connectors,1
bought hosa pedal cable son interconnect guitar pedal works well seems durable hasnt given problems far doesnt appear change sound quality tone great product great durable pedal cable,1
good little connector cable well constructed durable built last would recommend cable connect stomp boxes worth works great,1
great cables con could give go badno opening ends fix experience durable people using pedal board theres lot movement wear good cables,1
works fine great little spaces one pedal another theres distance better use another type bue generally works fine good quality product clean signal problems works fine,1
exactly needed connect 2 distortion paddles ampdo favor always order threw amazon dealers placed order threw onlinecarstereocom report scam operation credit card cotheir customer reviews terrible yet made mistake placing n orderright eyes changed bad reviews add good ones good product still use hasslefree order,1
great patch cables especially price dont suck tone reliableive mine 2 yearsand really great players budget good budget cable,1
cable came super fast mail deliver level performance would expect form low cost cables work pay,1
good cable dont forsee problems right hooking pedals together eithout mesws long cables need get price right shipping right time right,1
fanciest cable buy fits low budget works perfectly doesnt feel like going break anytime soon pedals perfectly connected decent connector decent price,1
typically use planet waves cables tried great never issue loss tone never breaks fails quality product good price reliable great,1
really inexpensive yet durable cables link stompboxes together yet havent one go crackly considering get frequent use pretty good often cheap cords die within year every electric guitarist keeps stock things one particular cheap accessible probably around twelve themenjoy frill cordage,1
hosa patch cables best buck great sound flexible im firm hosa cable fan love little guys great,1
lower profile fit bend places ones thick metal ends cant possibly better metal ended ones,1
bought 6 xlr 1434 adapters hoping connect microphones old funky mixer owned 1434 inputs didnt end working discovered needed convert microphone level line level dont however convert xlr 1434 balanced quite well needed particular situation nice tool although transformer balancing device,1
use adapter interfacemix board end 1 channel xlr cable snake change 1 channel monitor return plug xlr female 14 stereo adapter end create headphone jack musician end setup record 6 channels monitor 2 8 channel xlr snake go ask 8 channel xlr snake instead buying another snake adapt snake hence word adapter p love great tool add versatility setup matter youre definately recommend product anyone would happen need change xlr balanced 14 stereo high quality solid definately expect last long time versatility,1
purchased work ion system shure mic arrived expected solid great fit works problems,1
come handy many times studio z108net love around good quality affordable price quality adapter,1
title says works reason took star sometimes gets little stuck use force get xlr issues besides works,1
converts xlr signal shure sm57 mic 14 male run guitar pedalboard amp issues performance converter little bulky especially clip mic onto could tight fitting certain places pedalboard works great overall gets job done,1
got 3 plug xlr cables 1434 jacks board got board 6 channels xlr inputs none work perhaps got wrong thing thought,-1
affordable works nice little adapter low impedance cable high impedance input affordable works,1
price cant beat works well 15 20 one would bought local guitar stores cant beat,1
basic female xlr 14 inch male adapter use plug regular mic cables keyboardpractice one pa works intended,1
bought xlr splitter split lead vocal foh monitor rack used way worked great never problems signal loss power issues began using transformer isolated xlr splitter started playing bigger venues longer use splitter issue hosa splitter cable length female connector male connectors short short would cause microphone cables stick mic stand plugged lead singers microphone would great guitar mic something thats close ground horizontally placed looks little funny coming vertical microphone stand nice utility wish little length split cable,1
expected hosa another great product solid construction great sound reproduced would recomed product everyone great cable,1
use run single mono xlr shotgun mic line two audio channels tascam dr40 saves step postproduction quality fine supposed good price good product needs,1
didnt think purchasing items amazon wouldnt plus important worked purchasing coordinator 25 years know save money purchasing great believe find even cables cant find radioshack best buys else done lot purchasing business ladies gentlemen know know take care business right way would like apply position themregardsffsalsa great cables,1
solid product ended needing returned however worked fine gets job done nice,1
dual splitter works perfect live event video company shoot lot weddings important part video audio make anything look good long get good clean audio signal always say half video audio years used run line directly djs mixer get audio issue way introdustions get music dj playing words speaking often though signal hot music crap dj says something stupid djs voice edit way want compress time product improved productions beyond price sold use run separate clean audio line djs wireless systems audio recorder work perfectly havent failed great product running clean separate line audio,1
recommended top engineer genzbenz bass amplification company andy said product far superior right fixed scratchy potentiometer shuttle 60 amp also fixed effects loop jacks become oxidized causing amp intermittently lose 90 power gigs good several gigs worth testing problems resolved andy said product actually works better time applied since lubricating cleaning coating effect components wow andy stock affiliation represent way manufacturers deoxit product works great worth extra money,1
thing like magic spray hahseriously used noisy hinges car doors etci really bought clean pots volume controls knobs guitars pedals equipment really work gets rid static noise get turn volume control radio guitar example magic spray,1
bought product use amp pots restored soundpower clearity ampsit doesnt evaporate right away couple minutes good go works well,1
back 1980s bought deoxitnot right name cant remember worked much better cost much less made military spray 3 levels low still way high work stuff used much better dont see much else may stick itit wasteful cost good luck wd40 flammable would call average used better stuff,0
pay tech fix knobs switches guitar stomp box amp try 95 time take care problem amp cuts also try spraying effects loop pushing 1434 jack socket dozen times first bought probably paid hundred times good stuff five ounce magic,1
deal quite bit electronic musical instrument gear guitars basses amps fx midi gear etc time starts suffering scratchy noisy pots knobs input output jacks crackly etcin past ive tried locktite electronics cleaner provided similar would rarely workin contrast cleaned every piece gear ive used saving physically replace pots jacks really like magic magic,1
getting errors printer cartridge wasnt recognized sprayed contacts wiped excess paper towel working used printer cartridge,1
stuff works great well worth price used clean pots several guitars bass amp along various effect pedals scratchiness jarring volume spikes knobs glide better day new ill always keep around nothing say great stuff needed,1
fantastic stuffi sprayed bass guitars pot like new wish found stuff sooner scratchy bass guitar pot scratchy,1
brillcream dab yasomething like need contact cleaning worth coin stuff great,1
ive got old mesa boogie developed scratchy controls yearsthis stuff cleaned pretty well midrange pot starting crackle againi hate tear chassis itd gotta happen kinda worked kinda didnt,0
used guitar tone volume pots clears cracklefeels little oily gets job done dont replacethe potentiometers works potentiometers,1
use alot kinds electronics gets crackling knobs going ive use years recommend good stuff,1
pots bass become 34scratchy34 sprayed bit turn pots back forth times noise great needed cleaned pots bass fine,1
money karaoke mic decent job vocal use good keep spare gig box good usable mic,1
truly surprised saw nice weight good sound looks nicely madevery good deal moneycant go wrong cheep made microphone much better thought would nice good microphone,1
reason give 4 stars ordered 2 1 chord one missing chord ordered time good hot mics satisfied,1
bought mic spare sons guitar amp setup mixer seems work fine comes mic cord decided go model onoff switch based reviews havent yet disappointed excellent allpurpose mic,1
freelancer occasionally work band plays midwest performing nearweekly basis seasoned veterans interest gear per se even less interest brand cachet money couldnt believe first saw group using nady mics even lowerpriced several years ago insisting good shure sm57s 58s still dont believe quality workmanship compares casual empirical test build quality prove much nadys handle announcing vocals needed softer sounding instruments flute harmonica none broken quit watchim keyboardist mic power fidelity dont affect im trifle mortified musicians audience catch cheap comes allimportant gear component time embarrassment confess unmixed bit demonic glee whos playingand getting paid good enough professional use,1
bought mic seeing grandson handling mic came karaoke machine thinking mic would last long hope nady sp4c impressive mic price using roland cm30 cube plan use roland micro cube also would given 5 stars cord connection mic little loose nice surprise,1
bought cable bands live show setup bought almost year ago still currently use application best quality cable length price make good value money especially youre buying several time dont use cables studio live theyre fine id recommend cable youre budget looking buy several time youre going buy one id look canare mogami theyre little bit expensive easy get worth price good value best quality,1
theyre used live performances last long good price need resolder ends concert though cables good studio use,1
theres nothing complicated purchase cable works doesnt cost lot great deal get iti use every week still sounds perfect never mistreat equipment great deal money paid,1
bought cable order able run longer cable runs stage works narrower gauge wire cables makes little cagy durability tend use cable runs dont expect lot movement eg running cable mic stand save better cables belt pack micsthe jacket cable pronounced butyl rubber smell really activated allergies first stored mic cables open cardboard box months using seemed help lot rubber smell everyone allergies might issue folksbut couldnt use cables anything near face first monthstheyre cheap work fine havent noticed sound issues cheap works strong butyl rubber smell thin cable,1
ive cable awhile im impressed quality plug jack look cheap cable thin use home practice mic hasnt much workout dont think would hold long stage venue fair quality,1
cables little thin compared hosa gls picked little interference equipment well guessing lacking shielding thin cables,0
gain mic isnt greatest speeches soft recordings guy handle well microphone great beginners,1
shure sm58s cost like open sound pg48 vocals seem break higher volumes sm58s like mic ok sm58 worth extra money think especially expect push capability good price,1
test recording digitally get better idea learning process side gives clean crisp reproduction every flaw good quality would expect shure,1
use video exchanges guitar instruction website perfect vocals podcasting video recording forth shure makes excellent stuff whats also great save money xlr cable included im happy purchase great mic great deal,1
4 stars instead 5 thing wont tune guitar carry amp use solo duo bass player trio drums bass regular gig medium sized club basically one large room use pyle pro self contained pa also plug martin grp elecacoustic sound quality excellent volume seems limited bny pyle pro put would hesitation using bigger rooms full band pa havent heard hint feedback onoff switch plusthe 3699 price might seem good true think things paying less used bought 3234 toshiba flat screen around 230 bucks think would cost even five years ago less true lot audio gear lot companies bringing high quality elctronics music market great company like shure make something good affordable always made high quality product one almost anyone afford cannot recommend strongly enough buy,1
far im happy microphone tone quality fine everything need backup vocals band although longer cable would nice great cable included package good mic price,1
hard get honest review mike isnt shure sm58 considered gold standard others measured course least part reputation deserved perhaps durability sm58 sound couple sm58s couple pg58s considering sm48 pg58 slightly better specs almost identical pricethe first thing noticed box pg58 slightly bigger slightly heavier also different switch sm58 metal screens protecting arent interchangeable plugged one microphone cable settings would identical tried mikes one first speaking singing playing guitar changed settings specifically effects eq pa repeated experiment speaking singing changing mikesheres noticed sm58 slightly flatter mid range pg58 slightly brighter touch presence equal volume slight differences tone easily manipulated eq ordinary tone controls neither susceptible much feedback vocal popi havent tried side side comparison live situation even practice time consuming interferes playing difficulty judge situations least awkward used combination two practice one seems able tell difference except one person actually expressed preference pg58 could settingsi looked specs two mikes side side sm58 little flatter response especially high end 10k hz picks db pg 58 somewhere 50 60 hz however since human vocal range generally around 300 3000 hz neither seems likely much effect although sm58 might tad responsive bass singeri also tried two different behringer mikes radio shack mike behringer 8500 totally outclassed shures sounding tinny thin little presence volume tried behringer 2000xm impressed similarity mikes sound almost identical b 2000 shure sm behringer 2000xm seems discontinued though replaced 1800xm inferior mike offered bundles three 50i plugged radio shack mike spare backup even taken practice model number 333001 probably also discontinued excellent sounding mike good volume presence tonei didnt mikes test side side experiment reach conclusionsthere quite bit snobbery choosing microphones shure sm58 held unreachable standard sturdy good mikes price unreasonable around 100 however microphones sound nearly identical also sturdy reliable lower prices including shure pg58 likely sm48 though didnt testi wish people would give unbiased reviews based actual performance instead condescension toward either budget looking alternatives standard bearer im giving 4 stars havent enough time give evaluation holds comparison sm58 unbiased review,1
microphone great singing pa electric guitar sing worshippraise songs southern gospel smooth mid range get close enhances bass nicely dont think sm58 exactly need built last shure good lead vocal microphone,1
got used recording rehearsal works well far revise review somehow changes next years right though id say great product great far,1
bought one replace shure 8900 big step one pleased old one lot handling noise one little good money paid next one sm58 awhile im happy pg58updatedecember 2012the handling noise definitely something consider would keep buying another one mics dont problem degree good mic,1
started shure pg58 recently acquired shure sm58 id probably ready agree argue neumann telefunken mic costing 5 gs simply isnt much better nady mic costing 10 bucks respect shure im less sure sm58 isnt worth 40 pg58 perhaps sufficiently highpowered clean amplifier tweaked eq settings favor frequencies human voice two mics could mistaken one another attempts occasionally use instrument amplifier emergency pa led realize pg58 sounded somewhat muted dull compared sm58 switching common admittedly expensive mic gave extra gain needed along added crispness clarity voice least announcementsps notice head pg58 larger sm58 since rise digital audio workstation doesnt computer free included garage band large even goldplated expensivelooking cheap mics display place despite appearances comes mics size doesnt matterexcept appearances directors high school show bands dispense headsets wrap halfway around face knowing girls frontline think theyre coolthey look like madonnaa janets headgear best mics tiny opening size pinhole shure quality construction quite equal sm58,1
good mic simple live stuff isnt expensive gets good clear sound switch helps kinds things good mic,1
proven classic using mic mesa boogie mark v 1x12 cabinet sounds fantastic solidly built classic delivers,1
